03/21/2017,16,1,0,APD
02/21/2017,68,5,2,APD
02/13/2017,63,3,0,APD
01/27/2017,179,9,2,APD
01/27/2017,10,1,0,APD
01/09/2017,12,0,0,APD
12/14/2016,42,2,0,APD
12/01/2016,109,0,2,APD
11/14/2016,60,1,1,APD
10/27/2016,182,10,5,APD
10/25/2016,49,0,0,APD
08/26/2016,43,1,1,APD
07/28/2016,94,7,0,APD
07/19/2016,38,1,0,APD
05/18/2016,26,0,0,APD
05/06/2016,22,2,0,APD
05/06/2016,145,7,7,APD
05/06/2016,78,2,0,APD
10/29/2015,37,0,0,APD
10/28/2015,45,2,0,APD
10/27/2015,124,7,0,APD
10/22/2015,57,1,0,APD
09/16/2015,96,7,5,APD
09/16/2015,27,2,0,APD
08/17/2015,22,1,0,APD
07/30/2015,35,2,0,APD
05/21/2015,26,2,0,APD
04/30/2015,42,1,0,APD
04/27/2015,68,4,1,APD
03/13/2017,74,5,1,AKAM
02/07/2017,56,3,0,AKAM
08/01/2016,84,7,0,AKAM
07/26/2016,84,4,0,AKAM
07/26/2016,41,3,0,AKAM
07/01/2016,74,2,1,AKAM
05/25/2016,18,3,0,AKAM
02/29/2016,59,4,2,AKAM
11/02/2015,34,1,0,AKAM
08/12/2015,129,6,5,AKAM
07/28/2015,37,0,0,AKAM
07/21/2015,39,4,0,AKAM
05/26/2015,94,6,1,AKAM
04/28/2015,44,3,0,AKAM
04/12/2017,46,2,1,ALK
04/12/2017,47,1,2,ALK
04/10/2017,79,0,2,ALK
03/13/2017,57,1,3,ALK
03/10/2017,36,0,1,ALK
02/28/2017,28,0,0,ALK
02/10/2017,30,0,0,ALK
02/08/2017,136,9,4,ALK
01/18/2017,87,1,2,ALK
01/10/2017,19,0,0,ALK
01/10/2017,51,0,1,ALK
12/07/2016,26,1,0,ALK
12/06/2016,43,2,0,ALK
10/12/2016,49,1,1,ALK
10/04/2016,46,0,1,ALK
09/26/2016,54,3,2,ALK
09/02/2016,61,0,1,ALK
08/31/2016,46,2,3,ALK
08/03/2016,12,1,0,ALK
08/03/2016,18,0,1,ALK
08/02/2016,65,0,1,ALK
07/29/2016,23,2,0,ALK
07/26/2016,32,4,0,ALK
07/21/2016,60,1,2,ALK
07/21/2016,116,3,3,ALK
07/21/2016,104,4,2,ALK
06/13/2016,38,0,2,ALK
06/07/2016,33,0,0,ALK
06/03/2016,33,0,1,ALK
05/25/2016,105,5,0,ALK
05/16/2016,21,0,0,ALK
05/13/2016,10,1,0,ALK
05/10/2016,50,1,1,ALK
05/10/2016,17,2,0,ALK
01/21/2016,20,1,0,ALK
08/06/2015,31,2,1,ALK
08/04/2015,25,1,0,ALK
07/22/2015,64,1,0,ALK
05/11/2015,39,2,1,ALK
03/16/2017,51,0,2,ALB
02/27/2017,150,6,1,ALB
02/23/2017,25,1,0,ALB
01/19/2017,57,3,0,ALB
08/23/2016,57,3,1,ALB
08/03/2016,94,6,3,ALB
06/17/2016,22,0,0,ALB
06/17/2016,11,0,0,ALB
06/17/2016,34,3,1,ALB
05/13/2016,32,2,1,ALB
05/10/2016,8,1,0,ALB
05/10/2016,133,7,1,ALB
01/26/2016,83,4,4,ALB
01/04/2016,42,3,0,ALB
11/05/2015,40,4,0,ALB
10/05/2015,25,1,1,ALB
08/05/2015,21,1,0,ALB
07/13/2015,60,0,0,ALB
07/09/2015,24,1,1,ALB
05/14/2015,36,1,0,ALB
05/06/2015,36,1,0,ALB
05/05/2015,21,1,1,ALB
03/27/2017,46,1,0,ALXN
03/16/2017,110,7,2,ALXN
03/13/2017,36,1,0,ALXN
03/08/2017,51,1,0,ALXN
02/16/2017,161,5,6,ALXN
02/16/2017,115,11,2,ALXN
01/09/2017,82,4,0,ALXN
01/09/2017,44,2,1,ALXN
11/14/2016,77,5,0,ALXN
08/29/2016,39,1,3,ALXN
08/08/2016,74,4,0,ALXN
07/28/2016,84,6,0,ALXN
06/10/2016,132,7,9,ALXN
06/06/2016,50,1,4,ALXN
06/01/2016,12,1,1,ALXN
02/03/2016,22,1,0,ALXN
09/09/2015,41,1,2,ALXN
07/30/2015,55,2,0,ALXN
07/06/2015,51,2,0,ALXN
06/23/2015,56,2,1,ALXN
05/06/2015,76,6,0,ALXN
02/09/2017,172,12,1,ALLE
02/02/2017,30,3,1,ALLE
01/03/2017,13,0,0,ALLE
07/28/2016,101,7,0,ALLE
05/18/2016,30,2,1,ALLE
04/07/2016,25,2,0,ALLE
02/11/2016,74,2,1,ALLE
02/04/2016,29,3,1,ALLE
12/03/2015,24,2,0,ALLE
09/07/2015,77,2,2,ALLE
09/02/2015,16,0,0,ALLE
08/28/2015,57,2,3,ALLE
08/03/2015,14,0,0,ALLE
07/30/2015,25,1,0,ALLE
07/23/2015,48,2,2,ALLE
07/20/2015,18,1,0,ALLE
06/29/2015,37,0,1,ALLE
05/04/2015,58,0,1,ALLE
04/30/2015,70,1,2,ALLE
03/29/2017,57,5,1,AGN
03/27/2017,67,5,1,AGN
03/27/2017,68,4,2,AGN
03/22/2017,46,5,1,AGN
03/20/2017,47,3,0,AGN
03/14/2017,104,7,0,AGN
03/08/2017,28,0,0,AGN
03/01/2017,63,6,0,AGN
02/13/2017,59,9,1,AGN
02/08/2017,231,16,10,AGN
02/03/2017,12,1,0,AGN
01/26/2017,31,0,1,AGN
01/19/2017,38,1,0,AGN
01/09/2017,94,6,1,AGN
01/09/2017,86,6,1,AGN
01/05/2017,147,5,2,AGN
12/02/2016,42,2,0,AGN
11/22/2016,65,7,7,AGN
11/22/2016,45,0,0,AGN
11/21/2016,13,2,0,AGN
10/14/2016,39,4,2,AGN
10/11/2016,67,2,1,AGN
10/03/2016,107,7,7,AGN
09/06/2016,138,5,10,AGN
09/06/2016,61,6,0,AGN
08/31/2016,81,1,0,AGN
08/11/2016,52,9,0,AGN
08/08/2016,16,0,0,AGN
08/08/2016,108,7,3,AGN
08/08/2016,114,7,3,AGN
08/03/2016,11,2,1,AGN
08/03/2016,85,5,1,AGN
08/02/2016,11,1,1,AGN
08/02/2016,58,7,1,AGN
07/27/2016,39,4,1,AGN
07/25/2016,66,5,2,AGN
07/19/2016,47,1,2,AGN
07/18/2016,14,1,1,AGN
07/13/2016,31,1,2,AGN
07/13/2016,20,3,1,AGN
07/01/2016,31,3,0,AGN
06/15/2016,32,2,0,AGN
06/09/2016,59,0,2,AGN
06/07/2016,38,1,2,AGN
06/07/2016,200,8,2,AGN
06/06/2016,47,4,2,AGN
06/06/2016,44,2,1,AGN
06/01/2016,30,1,0,AGN
05/31/2016,30,1,0,AGN
05/26/2016,40,0,3,AGN
05/24/2016,20,1,0,AGN
05/23/2016,49,3,0,AGN
05/23/2016,33,4,0,AGN
05/16/2016,39,2,2,AGN
05/16/2016,39,2,2,AGN
05/16/2016,50,3,4,AGN
05/10/2016,86,6,3,AGN
05/10/2016,84,14,4,AGN
05/09/2016,43,3,4,AGN
05/09/2016,55,0,0,AGN
05/02/2016,21,1,0,AGN
04/21/2016,31,3,0,AGN
04/04/2016,242,12,11,AGN
02/25/2016,14,1,0,AGN
